Time,Mean,StDev,SEM,Group
2.667,0.08170001208782196,0.06870000064373016,0.0198,5
3.0,0.0763000100851059,0.07010000199079514,0.0202,5
0.0,0.07070000469684601,0.08839999884366989,0.0255,9
0.333,0.08449999988079071,0.08760000020265579,0.0253,9
0.667,0.0991000086069107,0.08529999852180481,0.0246,9
1.0,0.1226000040769577,0.08349999785423279,0.0241,9
1.333,0.13870000839233398,0.08009999990463257,0.0231,9
1.667,0.15129998326301575,0.07540000230073929,0.0218,9
2.0,0.16280001401901245,0.07540000230073929,0.0218,9
2.333,0.17170000076293945,0.07349999994039536,0.0212,9
2.667,0.1819000095129013,0.0714000016450882,0.0206,9
3.0,0.18630000948905945,0.07129999995231628,0.0206,9
0.0,0.0575999915599823,0.06669999659061432,0.0193,6
0.333,0.06549999117851257,0.0617000013589859,0.0178,6
0.667,0.08009999990463257,0.05999999865889549,0.0173,6
1.0,0.09700001776218414,0.056699998676776886,0.0164,6
1.333,0.11309999227523804,0.05530000105500221,0.016,6
1.667,0.12950000166893005,0.05299999937415123,0.0153,6
2.0,0.14489999413490295,0.05139999836683273,0.0148,6
2.333,0.15810000896453857,0.049400001764297485,0.0143,6
2.667,0.16120000183582306,0.04899999871850014,0.0141,6
3.0,0.15959998965263367,0.047600001096725464,0.0137,6
0.0,0.08349999785423279,0.07940000295639038,0.0229,Positive
0.333,0.1062999814748764,0.08259999752044678,0.0238,Positive
0.667,0.12480001151561737,0.08139999955892563,0.0235,Positive
1.0,0.14270000159740448,0.08219999819993973,0.0237,Positive
1.333,0.1574999988079071,0.08449999988079071,0.0244,Positive
1.667,0.1476999819278717,0.08330000191926956,0.024,Positive
2.0,0.13170000910758972,0.0843999981880188,0.0244,Positive
2.333,0.12290000915527344,0.08640000224113464,0.0249,Positive
2.667,0.1226000040769577,0.08640000224113464,0.0249,Positive
3.0,0.11939999461174011,0.08709999918937683,0.0251,Positive
0.0,0.05290000140666962,0.06620000302791595,0.0191,18
0.333,0.052999988198280334,0.06449999660253525,0.0186,18
0.667,0.05269999802112579,0.06300000101327896,0.0182,18
1.0,0.06470000743865967,0.061900001019239426,0.0179,18
1.333,0.07330000400543213,0.0625,0.018,18
1.667,0.07409998774528503,0.061400000005960464,0.0177,18
2.0,0.05650000274181366,0.061900001019239426,0.0179,18
2.333,0.0421999990940094,0.062300000339746475,0.018,18
2.667,0.03710000216960907,0.06390000134706497,0.0184,18
3.0,0.031400009989738464,0.06449999660253525,0.0186,18
0.0,0.06909999251365662,0.07429999858140945,0.0214,16
0.333,0.06889998912811279,0.07519999891519547,0.0217,16
0.667,0.07360000908374786,0.07890000194311142,0.0228,16
1.0,0.08240000903606415,0.07660000026226044,0.0221,16
1.333,0.09279999136924744,0.0763000026345253,0.022,16
1.667,0.09419998526573181,0.07810000330209732,0.0225,16
2.0,0.07610000669956207,0.07900000363588333,0.0228,16
2.333,0.05830000340938568,0.08030000329017639,0.0232,16
2.667,0.05269999802112579,0.0812000036239624,0.0234,16
3.0,0.04479999840259552,0.08259999752044678,0.0238,16
0.0,0.07089999318122864,0.07959999889135361,0.023,15
0.333,0.08779999613761902,0.07850000262260437,0.0227,15
0.667,0.10740001499652863,0.07999999821186066,0.0231,15
1.0,0.1300000101327896,0.07699999958276749,0.0222,15
1.333,0.1486000120639801,0.07419999688863754,0.0214,15
1.667,0.16740000247955322,0.07150000333786011,0.0206,15
2.0,0.18389999866485596,0.06769999861717224,0.0195,15
2.333,0.19010001420974731,0.06669999659061432,0.0193,15
2.667,0.19289998710155487,0.06499999761581421,0.0188,15
3.0,0.1964000165462494,0.06440000236034393,0.0186,15
0.0,0.029100000858306885,0.04650000110268593,0.0134,2
0.333,0.03819999098777771,0.04500000178813934,0.013,2
0.667,0.056199997663497925,0.04619999974966049,0.0133,2
1.0,0.0754999965429306,0.04360000044107437,0.0126,2
1.333,0.09110000729560852,0.04430000111460686,0.0128,2
1.667,0.09630000591278076,0.04569999873638153,0.0132,2
2.0,0.08520001173019409,0.044599998742341995,0.0129,2
2.333,0.07600000500679016,0.048500001430511475,0.014,2
2.667,0.06689999997615814,0.04740000143647194,0.0137,2
3.0,0.06120000779628754,0.04699999839067459,0.0136,2
0.0,0.0625,0.06310000270605087,0.0182,10
0.333,0.0673999935388565,0.06210000067949295,0.0179,10
0.667,0.07410000264644623,0.060499999672174454,0.0175,10
1.0,0.09059999883174896,0.06120000034570694,0.0177,10
1.333,0.09869998693466187,0.06030000001192093,0.0174,10
1.667,0.0909000039100647,0.060499999672174454,0.0175,10
2.0,0.07780000567436218,0.0649000033736229,0.0187,10
2.333,0.06880000233650208,0.06689999997615814,0.0193,10
2.667,0.06229999661445618,0.06800000369548798,0.0196,10
3.0,0.05650000274181366,0.06909999996423721,0.0199,10
0.0,0.047999992966651917,0.053300000727176666,0.0154,11
0.333,0.052799999713897705,0.05260000005364418,0.0152,11
0.667,0.055900007486343384,0.05079999938607216,0.0147,11
1.0,0.06920000910758972,0.051500000059604645,0.0149,11
1.333,0.07440000772476196,0.050200000405311584,0.0145,11
1.667,0.0828000009059906,0.048900000751018524,0.0141,11
2.0,0.0942000150680542,0.04839999973773956,0.014,11
2.333,0.1078999936580658,0.04780000075697899,0.0138,11
2.667,0.11879999935626984,0.04749999940395355,0.0137,11
3.0,0.12479999661445618,0.04659999907016754,0.0135,11
0.0,0.07199999690055847,0.07680000364780426,0.0222,20
0.333,0.07099999487400055,0.07750000059604645,0.0224,20
0.667,0.07459999620914459,0.0786999985575676,0.0227,20
1.0,0.08560000360012054,0.07779999822378159,0.0225,20
1.333,0.09279999136924744,0.07670000195503235,0.0221,20
1.667,0.08969998359680176,0.07569999992847443,0.0219,20
2.0,0.07569999992847443,0.08100000023841858,0.0234,20
2.333,0.06260000169277191,0.0820000022649765,0.0237,20
2.667,0.05810000002384186,0.08399999886751175,0.0242,20
3.0,0.05210000276565552,0.0843999981880188,0.0244,20
